outer,inner_cycle,pre_objective,post_objective,post_minus_pre,post_linear_residual_norm,e_rel_to_exact,delta_e_norm,delta_e_raw_norm,e_norm
12,5,3488.6426175425377,3173.947995313253,-314.6946222292845,190404696.36749446,0.3244000651284403,17.2034264779772,17.2034264779772,6.569251168583274
13,1,873.2453531282924,845.2642486765072,-27.9811044517852,71587163.98147674,0.6654269213744873,2.237713590725402,2.237713590725402,1.2007439905761614
13,2,426.2483695883443,442.4300724600307,16.18170287168641,60973689.64366398,0.5165866479089333,2.755549974269374,2.755549974269374,1.6831907719963546
13,3,459.1545418849021,471.9983095298847,12.84376764498262,61969991.62955265,0.5220554481709827,3.8131238791248085,3.8131238791248085,1.4923111184305096
13,4,542.4754718235017,592.723616497756,50.24814467425426,73325095.71894875,0.42666881096066145,5.146130478273277,5.146130478273277,1.9889418475187628
13,5,1064.4504035253601,1097.6089851411805,33.15858161582037,102645120.5097128,0.4193939848540529,7.352143392283166,7.352143392283166,1.8145817945475478
14,1,8039.815390306204,8063.200397260031,23.385006953827542,290253901.26568407,0.863613052375939,1.8344173614051265,1.8344173614051265,1.7089314491846985
14,2,114.01695313239475,111.86499391842176,-2.1519592139729866,5990691.895233173,0.2431040128268777,3.134221303630882,3.134221303630882,1.3570102318355497
14,3,443.14927071029064,455.0775306623113,11.928259952020653,61404780.91336811,0.12666654916759934,4.7145776790791025,4.7145776790791025,1.365700036053682
14,4,323.2224191192397,365.8046431984726,42.5822240792329,53123033.50645164,0.23717220718332682,7.03748238262744,7.03748238262744,1.2364063654473094
14,5,931.6442517993926,932.8690695468396,1.2248177474469912,94975166.7085298,0.32056031488981523,10.503782754486933,10.503782754486933,1.4921658242228435
15,1,4006890.5694184355,4392136.971132345,385246.4017139091,6415138239.771392,39.8145539149604,18.770678694503914,18.770678694503914,16.40189604936156
15,2,12170.579654793399,11230.598382684595,-939.9812721088038,329202977.2620957,28.80746401854335,32.24119736692933,32.24119736692933,11.785067700251043
15,3,349.2972539985801,561.6193902126348,212.3221362140547,8029246.30319599,37.54663630013684,47.860410773036094,47.860410773036094,15.437080610352094
15,4,1497.8203038649374,5065.550899871653,3567.730596006716,261419062.91002285,19.760633971235197,72.80657168643255,72.80657168643255,8.063782639593834
15,5,48790.69115173416,20293.357431235145,-28497.333720499013,558926478.1696222,37.1696664198666,109.0109068324298,109.0109068324298,15.25018155722151
16,1,49450.57374806841,47488.099162154154,-1962.4745859142567,735142032.2265724,1.0884066093393736,6.5653848055108694,6.5653848055108694,2.998429003147537
16,2,2522.936118817286,3103.907846074472,580.9717272571861,171900644.6924533,0.9783878258486557,9.850522291296421,9.850522291296421,2.9629037163622263
