outer,trial,accepted,damping,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,predicted_reduction,rho,step_norm,gradient_inf_norm,linear_residual_norm
91,1,True,0.005129734503885664,3910.3821933912945,3880.0200811272234,30.36211226407113,45.64671952761523,0.6651543107211185,16.058165566810345,343.61249186934106,3.6351350855107845e-11
92,1,True,0.004944869537343752,3880.0200811272234,3850.8076183479257,29.212462779297766,40.90389575954018,0.7141731181554859,15.16904879776609,330.01289391938474,4.885765122920183e-11
93,1,True,0.0045562365116439164,3850.8076183479257,3820.018896616344,30.788721731581518,40.18201477652356,0.7662314073302742,15.563816318262193,340.4227198545648,6.208211114287521e-11
94,1,True,0.003868417603097455,3820.018896616344,3785.831751219409,34.18714539693519,42.95180543526046,0.7959419877812612,16.99249214876326,335.1372913985906,6.852011201149781e-11
95,1,True,0.0030662906726591655,3785.831751219409,3744.426247374026,41.40550384538301,51.001268996268855,0.8118524236801274,20.581646425502612,358.43402765236516,8.219190794651204e-11
96,1,True,0.0023223287982130887,3744.426247374026,3693.622680650246,50.80356672378002,64.2678851757003,0.7904969423669298,25.867320808444596,406.792307538288,8.735462712150084e-11
97,1,True,0.0018668812259654722,3693.622680650246,3634.8140119783484,58.80866867189752,80.11668498168461,0.7340377186767238,31.742710873355513,540.6915208512551,7.018373482208004e-11
98,1,True,0.0016754273144826643,3634.8140119783484,3579.7619192234165,55.05209275493189,94.46163777562404,0.5827984147987975,35.57872671343184,733.0239636439092,9.468936515048027e-11
99,1,True,0.0016678191193111073,3579.7619192234165,3531.7941278481,47.967791375316665,114.99800571791461,0.41711846284517046,39.14330209225045,895.8478520844046,9.874873587111812e-11
100,1,True,0.0016754155980446186,3531.7941278481,3512.7573502579253,19.03677759017455,142.48338354357014,0.13360700115851246,43.34777560222249,948.5633610387946,8.109130647229112e-11
