basis_source,inner_cycles,pre_sweeps,outer,nonlinear_objective,e_star_norm,proj_rel,coarse_dim
message_conditioned_information,2,100,8,26.77024859471202,1.7843293470898327,0.023005497085793063,12
message_conditioned_information,2,100,9,26.770248587545755,1.7841871904203868,0.023006354774987747,12
message_conditioned_information,2,100,10,26.770248591585712,1.7840137387696036,0.023008772610720842,12
message_conditioned_information,2,100,11,26.770248592526613,1.7840434555050981,0.02300801401035521,12
message_conditioned_information,2,100,12,26.77024859937157,1.7842622175566978,0.023005661327893702,12
message_conditioned_information,2,100,13,26.770248601025834,1.7841901735059542,0.023006885735402792,12
message_conditioned_information,2,100,14,26.770248597645963,1.7839862217172244,0.02300964090951078,12
message_conditioned_information,2,100,15,26.770248591372727,1.7842996488891947,0.023005186073842866,12
message_conditioned_information,2,100,16,26.770248592307613,1.7843297545254573,0.02300526232459372,12
message_conditioned_information,2,100,17,26.7702485872214,1.783910297286118,0.023009977028839657,12
message_conditioned_information,2,100,18,26.7702485888175,1.7844925414925576,0.023004013619400573,12
message_conditioned_information,2,100,19,26.770248574480686,1.7839693575414795,0.023008952567787077,12
message_conditioned_information,2,100,20,26.770248579738272,1.7842789128397816,0.023006074758169258,12
