outer,damping,nonlinear_objective,undamped_step_norm,damped_step_norm,exact_linear_residual_norm
73,0.8,107.91906057413729,1.0307029839667952e-05,8.24562387173436e-06,8.354519808284257e-11
74,0.8,107.91906057417744,1.1470730000451993e-05,9.176584000361596e-06,1.900990084681818e-10
75,0.8,107.91906057415476,1.4641495506022433e-05,1.1713196404817948e-05,5.24568351182089e-10
76,0.8,107.91906057410931,5.762681944618236e-06,4.61014555569459e-06,3.2692205715317565e-11
77,0.8,107.91906057407458,2.1397204954543742e-05,1.7117763963634994e-05,9.397944563279543e-11
78,0.8,107.91906057414853,1.1744644829213512e-05,9.395715863370812e-06,1.4344623490781125e-10
79,0.8,107.91906057415224,9.512203290523512e-06,7.6097626324188065e-06,1.5701111592266968e-10
80,0.8,107.9190605740943,5.442570522765867e-06,4.354056418212695e-06,1.348061021199676e-10
81,0.8,107.91906057408688,1.8306511675211743e-05,1.4645209340169395e-05,1.7101465320538585e-10
82,0.8,107.91906057411025,2.5864119697792746e-05,2.0691295758234193e-05,1.0267609994486373e-10
83,0.8,107.9190605741245,5.612914386052581e-06,4.490331508842065e-06,3.115395438194501e-11
84,0.8,107.91906057413478,1.4084085426678375e-05,1.1267268341342701e-05,1.1256040996251656e-10
85,0.8,107.91906057416769,8.736552667297539e-06,6.989242133838032e-06,2.340963189756533e-10
86,0.8,107.91906057410785,3.798427949344533e-05,3.038742359475626e-05,1.0928934415472503e-10
87,0.8,107.91906057418696,2.9216003157691556e-05,2.337280252615325e-05,5.211534683007107e-10
88,0.8,107.91906057417953,9.364094427926613e-06,7.491275542341288e-06,2.768273644754213e-11
89,0.8,107.91906057411252,1.1225384302501265e-05,8.980307442001015e-06,3.492246132675947e-11
90,0.8,107.91906057418772,1.6116561635144925e-05,1.2893249308115942e-05,1.8588950647311903e-11
91,0.8,107.91906057412886,1.6614873005034586e-05,1.3291898404027667e-05,1.0419994085921692e-10
92,0.8,107.91906057408706,1.4661645822464105e-05,1.1729316657971282e-05,4.0923906249345146e-10
93,0.8,107.9190605741642,1.1869401156781234e-05,9.49552092542499e-06,6.786686273158034e-11
94,0.8,107.9190605741593,1.4699804746958975e-05,1.175984379756718e-05,1.3028238152111175e-11
95,0.8,107.91906057413327,2.045723161343866e-05,1.6365785290750934e-05,6.873768500449128e-11
96,0.8,107.91906057411778,1.0416730380528347e-05,8.333384304422677e-06,1.7556309462403635e-10
97,0.8,107.91906057409672,3.074980465845761e-05,2.459984372676609e-05,3.874804680436634e-10
98,0.8,107.91906057411174,2.8029668470070132e-05,2.242373477605611e-05,3.0192010722006253e-10
99,0.8,107.91906057413276,1.0002598711658532e-05,8.002078969326825e-06,1.194340380178381e-10
100,0.8,107.91906057413159,7.434467088346742e-06,5.9475736706773934e-06,1.0470870500073715e-10
0,0.5,3350168.410825497,,,
1,0.5,57808132.98065009,699.3488142897845,349.67440714489226,0.001431575703154367
2,0.5,63473801.99106065,342.7035466321256,171.3517733160628,0.0002864081370272461
3,0.5,29492893.70169204,170.34831754344984,85.17415877172492,8.130597171603071e-05
4,0.5,9657721.584148781,85.30966724723362,42.65483362361681,2.258097227555883e-05
5,0.5,2723658.9274750017,42.825929579837485,21.412964789918743,3.297733505659854e-05
6,0.5,719549.2372252963,21.488809872261452,10.744404936130726,2.432354586606263e-06
7,0.5,184629.58243667416,10.775379787578048,5.387689893789024,4.948050061925201e-06
8,0.5,46795.088153264645,5.401416142166982,2.700708071083491,1.7883277412631656e-06
9,0.5,11845.773886848667,2.707176576915177,1.3535882884575885,1.446893006133361e-06
10,0.5,3050.1881337477507,1.3568009875198723,0.6784004937599362,6.116165909136445e-07
11,0.5,844.404454241524,0.6800083095247994,0.3400041547623997,3.370872118475326e-07
12,0.5,292.14796648839183,0.3408250410357382,0.1704125205178691,2.2764382632788026e-07
13,0.5,153.98881909240473,0.1708292849640494,0.0854146424820247,4.564900981186829e-08
14,0.5,119.43795224308906,0.08562463131999393,0.04281231565999696,2.8697480442888047e-08
15,0.5,110.79895030987723,0.042925624943768656,0.021462812471884328,7.160171330017939e-09
16,0.5,108.63905212691422,0.02151312663064768,0.01075656331532384,7.2632617613893565e-09
17,0.5,108.09906061400225,0.010789531786811966,0.005394765893405983,2.2036362484369613e-09
18,0.5,107.9640608242141,0.005404113238718797,0.0027020566193593984,1.982576042547152e-09
19,0.5,107.93031066452366,0.0027131065288789414,0.0013565532644394707,1.2569166528098198e-09
20,0.5,107.92187310093371,0.0013577858804250502,0.0006788929402125251,7.6950565908201e-10
21,0.5,107.91976370637977,0.0006815804171153677,0.00034079020855768387,1.0696054054606422e-10
22,0.5,107.91923635724284,0.00034199149279083276,0.00017099574639541638,6.710154909806003e-10
23,0.5,107.91910451993941,0.0001824025418578967,9.120127092894835e-05,1.7005481677791778e-10
24,0.5,107.91907156051572,8.127020961417823e-05,4.0635104807089114e-05,1.0414555086829652e-11
25,0.5,107.91906332074021,4.8020839217957054e-05,2.4010419608978527e-05,1.4735213746001222e-11
26,0.5,107.91906126077258,2.4831498766178894e-05,1.2415749383089447e-05,3.3676436010891106e-10
27,0.5,107.91906074582106,1.716181358974841e-05,8.580906794874204e-06,6.424244200733757e-11
28,0.5,107.91906061707756,6.639995027188175e-06,3.3199975135940875e-06,4.3967046723626626e-11
29,0.5,107.91906058482006,1.1184383128467154e-05,5.592191564233577e-06,2.4438784181785022e-11
30,0.5,107.9190605769064,1.0543484971690101e-05,5.271742485845051e-06,5.662496324348541e-12
31,0.5,107.91906057473913,2.247744287660899e-05,1.1238721438304495e-05,6.722682961873999e-11
32,0.5,107.91906057424188,6.194377691028147e-06,3.0971888455140735e-06,7.167917924699302e-11
33,0.5,107.91906057419486,1.1401776451759621e-05,5.7008882258798105e-06,1.9870196863323265e-10
34,0.5,107.91906057411478,2.8240072896580265e-06,1.4120036448290132e-06,1.0332756277713237e-11
35,0.5,107.91906057412261,1.7615348580753153e-05,8.807674290376577e-06,1.8109010974191093e-10
36,0.5,107.91906057410687,6.521339342812368e-06,3.260669671406184e-06,6.725749133800428e-11
37,0.5,107.91906057414707,9.125203282381115e-06,4.5626016411905575e-06,1.872312068518717e-10
38,0.5,107.9190605741733,1.5485598166868517e-05,7.742799083434259e-06,2.4068383194431284e-10
39,0.5,107.91906057414349,1.5488098294217656e-05,7.744049147108828e-06,3.147288184343883e-10
40,0.5,107.91906057414903,5.0528705429252366e-06,2.5264352714626183e-06,6.671229233393986e-11
41,0.5,107.91906057406796,1.677109532444483e-05,8.385547662222415e-06,8.741266896698163e-12
42,0.5,107.91906057415704,1.8753174053609292e-05,9.376587026804646e-06,5.7905075087514885e-11
43,0.5,107.91906057409177,1.95227437117233e-05,9.76137185586165e-06,7.322159744852906e-11
44,0.5,107.91906057416017,7.197468131959612e-06,3.598734065979806e-06,2.6927514061169716e-11
45,0.5,107.91906057413502,1.883283130047422e-05,9.41641565023711e-06,3.449992981289903e-11
46,0.5,107.91906057417634,1.7524196895635393e-05,8.762098447817696e-06,1.429239942707601e-10
47,0.5,107.91906057418582,7.40194085506748e-07,3.70097042753374e-07,1.1982291431479586e-11
48,0.5,107.9190605741306,5.104809250930433e-06,2.5524046254652164e-06,7.810553629283852e-11
49,0.5,107.91906057405525,1.3479610502329069e-05,6.739805251164534e-06,4.582360326621781e-11
50,0.5,107.91906057411929,7.3255497576628765e-06,3.6627748788314383e-06,2.978580683756198e-11
51,0.5,107.91906057417803,5.217229223841034e-06,2.608614611920517e-06,6.840904455467589e-11
52,0.5,107.91906057416324,2.3799727794136877e-05,1.1899863897068439e-05,4.0173553414357195e-10
53,0.5,107.91906057408681,5.205386939774197e-06,2.6026934698870985e-06,6.318628484683726e-12
54,0.5,107.9190605740877,3.8720695230645535e-06,1.9360347615322767e-06,1.5913539019267674e-11
55,0.5,107.91906057407685,8.036904134504683e-06,4.018452067252342e-06,6.63086455850069e-11
56,0.5,107.91906057409957,1.435204380524118e-05,7.17602190262059e-06,5.079544150276361e-11
