outer,nonlinear_objective,accepted,damping,attempts,step_norm,gradient_inf_norm,linear_residual_norm,predicted_reduction,actual_reduction,rho,relative_objective_improvement
45,5084.457250178485,True,0.0012656932602780019,1,132.00556501412504,1282.544275409793,4.282195308707033e-10,673.6827819048161,96.24411216925546,0.14286265695722306,0.018577429084937733
46,5058.499259391855,True,0.0023077952933130545,1,130.73725973732516,1867.041591953805,3.8651726551800856e-10,827.4926799672597,25.957990786630035,0.0313694506489859,0.005105361203640527
47,4865.785111023079,True,0.0027221041593330345,1,108.32093765019032,1170.4040646290543,1.33130028768196e-10,884.2641650499635,192.71414836877648,0.21793730424198246,0.03809709925547069
48,4738.3689107791,True,0.0034238589482169326,1,90.39922579266006,1089.607704086207,1.6237697020680087e-10,700.9440628192342,127.41620024397889,0.18177798629394787,0.0261861544101746
49,4566.863156626301,True,0.003697468326394587,1,78.8819850178669,619.5335489150223,1.0140831798189112e-10,602.5461708901266,171.50575415279854,0.2846350411611401,0.036195103712302334
50,4486.010719548028,True,0.004619278425169744,1,67.14769987830708,533.9728407985002,1.0371555093668596e-10,436.30805574519934,80.8524370782734,0.18531043837863634,0.017704151472320854
51,4355.958586875706,True,0.004734519026892048,1,55.52682103474237,725.9623354774384,6.240623581183827e-11,367.4816365972056,130.05213267232193,0.35390103809424167,0.028990597839102995
52,4294.780853389342,True,0.0052677171169446995,1,45.87077664873971,501.248062127437,6.288951973644424e-11,236.62554988646892,61.17773348636365,0.2585423827465641,0.014044608612829614
53,4217.018210676418,True,0.005300864071683097,1,37.35740985321853,483.9851696600176,6.466566914038388e-11,190.739138407311,77.76264271292439,0.4076910662502173,0.018106312141993437
54,4172.155430249869,True,0.005429794858448315,1,31.701736077157193,455.82048809731134,7.199092476349902e-11,126.3271592855422,44.86278042654885,0.3551317126125172,0.010638507633893471
55,4123.101951493819,True,0.005430999708292258,1,26.808952717423924,429.65711132557976,6.22219311932711e-11,104.4292098637396,49.053478756050026,0.46972948296798905,0.01175734691003883
56,4086.3451374042193,True,0.005432469005493742,1,24.055783217266033,434.53346954059265,6.777078674172408e-11,78.59696725175903,36.75681408959963,0.46766198970326045,0.008914844823636357
57,4048.133187780313,True,0.005426260948276101,1,21.62730703430421,413.9645814970804,6.746244457902689e-11,69.1901453775557,38.211949623906094,0.552274452024804,0.009351131228278867
58,4014.7299081331707,True,0.005407201858588016,1,20.20367472582842,416.3962349536939,4.8835451838281474e-11,57.99138963398785,33.403279647142426,0.5760041250600638,0.008251526839080666
59,3980.7804059734626,True,0.005294891795909336,1,19.01354444594454,401.3555081162922,6.155395472263705e-11,53.2589868170312,33.94950215970812,0.6374417575073306,0.008456235646371157
60,3948.702913815118,True,0.005095292595270886,1,18.406951646002685,400.06142915692465,6.01824820747234e-11,48.04536161141816,32.07749215834474,0.6676501348409334,0.008058091350683408
61,3915.646608592637,True,0.004717029144503049,1,18.35845472742523,395.0537682952577,3.3264100203117694e-11,46.54890168533919,33.05630522248066,0.7101414646887771,0.008371433846498888
62,3881.9996704776463,True,0.004259692443830023,1,19.010134753153707,382.44687568405527,4.574994975829038e-11,46.11070665485125,33.64693811499092,0.7296990342578271,0.008592945553655137
63,3845.5663679749496,True,0.0037555437309598956,1,20.612800725998678,393.1066819875567,3.551688311544197e-11,48.871753693899805,36.43330250269673,0.7454879301219828,0.009385189488749734
64,3806.683029272514,True,0.0033819678480447217,1,22.8049935152076,382.7653241563484,5.562386736266737e-11,53.143187636224425,38.883338702435594,0.7316711780369611,0.010111212492975726
65,3764.910138068152,True,0.00315659263680355,1,25.475670281760518,402.1367029025197,9.512074583730073e-11,59.44514160537919,41.77289120436217,0.70271329289898,0.010973566982892527
66,3723.909671687256,True,0.003104102491118311,1,27.409310039240996,393.4777481614459,9.746494260868025e-11,65.32676300238101,41.00046638089589,0.627621276434614,0.01089015803228016
67,3683.5629127290204,True,0.0031008931327060696,1,29.238453724162895,412.3084677094684,5.72040967011504e-11,73.28327788121213,40.34675895823557,0.5505588740672229,0.01083451601014666
68,3649.194545477795,True,0.0031111500033902456,1,30.367420404775235,426.1520620128397,3.644485392346372e-11,80.77138742639818,34.36836725122521,0.4255017568262389,0.00933019689509332
69,3614.351629150205,True,0.0031712607110310894,1,32.43678519455665,430.77963635010633,3.549145463777257e-11,95.24278389045998,34.842916327590046,0.3658326111893512,0.009548111478673715
