inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,coarse_damping_mode,outer,inner_cycles,pre_sweeps,basis_source
2,0.6281760527357662,1374877355.5090308,1374877526.9161325,175792.0131518983,153705.3453054414,-107858.04522581567,110.83300496305598,8.491294723369764,132.2084218316857,132.2084218316857,105.76673746534857,0.8,line_search,4,3,100,message_conditioned_information
3,0.4123259111905429,1057375816.5012112,1057376109.2339171,175603.1632172596,49985.4662517085,-211577.92427954858,167.9052468231466,263.4211845507751,100.26223361284846,100.26223361284848,100.26223361284848,1.0,line_search,4,3,100,message_conditioned_information
1,0.9938792196251205,1786802589.7091975,1786802589.7091975,295114.56543316355,295114.56543316355,240010.34900764655,3.34292532080537,3.34292532080537,14.239520214809922,14.239520214809922,0.0,0.0,line_search,5,3,100,message_conditioned_information
2,0.994132942758841,316016632.46707004,316016632.46707004,9112.578170504317,9112.578170504317,-45991.638255012665,3.472427209408474,3.472427209408474,15.581996257495874,15.581996257495875,0.0,0.0,line_search,5,3,100,message_conditioned_information
3,0.9932270845339846,174978865.19629446,174978865.19629446,2823.9514285161376,2823.9514285161376,-52280.26499700085,3.642509299511335,3.642509299511335,16.262759699829296,16.262759699829296,0.0,0.0,line_search,5,3,100,message_conditioned_information
1,0.9858962465188946,498684033.68940586,498684033.68940586,16404.039923853936,16404.039923853936,7482.259514598114,10.214501830335939,10.214501830335939,12.032020388963295,12.032020388963296,0.0,0.0,line_search,6,3,100,message_conditioned_information
2,0.9461421964108456,99745818.73926465,99745816.52854216,1713.7988913692484,1098.3803942639963,-7823.400014991826,12.331153464949281,8.103470033351527,12.327639165001273,12.327639165001273,12.327639165001273,1.0,line_search,6,3,100,message_conditioned_information
3,0.9039042483906413,476123417.74577403,476123417.74577403,26033.355170790113,26033.355170790113,17111.57476153429,28.534974370803425,28.534974370803425,20.26009152775281,20.260091527752813,0.0,0.0,line_search,6,3,100,message_conditioned_information
1,0.814973503445539,1445236260.9330661,1445236495.875725,194766.78083081305,186894.10784548824,186493.8173923369,28.974933248576633,17.951080776599436,41.41042800470166,41.41042800470165,41.41042800470165,1.0,line_search,7,3,100,message_conditioned_information
2,0.7428291762784025,432241589.6277485,432241683.9729102,10015.156868843245,8905.675373341614,8505.384920190267,39.792425690066366,86.51946929898669,60.664699068743275,60.664699068743275,48.53175925499462,0.8,line_search,7,3,100,message_conditioned_information
3,1.0970968786231916,258452638.75658923,258452638.75658923,6317.483767807367,6317.483767807367,5917.193314656021,41.2198845005622,41.2198845005622,65.92136292368451,65.92136292368453,0.0,0.0,line_search,7,3,100,message_conditioned_information
1,0.46709475424754293,1178690355.9916778,1178690422.5316613,129258.66481624702,117687.31536889012,107489.06816142488,71.90050321547723,4.205125550387295,72.84278728160659,72.84278728160659,72.84278728160659,1.0,line_search,8,3,100,message_conditioned_information
2,0.42822010449348513,546474848.4022924,546474997.1892667,36032.599253731365,1718.9855362440217,-8479.261671221231,75.57741321949408,177.96601110266357,103.0036870445369,103.0036870445369,103.0036870445369,1.0,line_search,8,3,100,message_conditioned_information
3,0.22405614772489463,734892797.4747486,734893010.8441274,68318.56288066237,8098.7986856617335,-2099.448521803519,90.71122305311022,81.34752381385903,163.33050058778164,163.33050058778161,163.33050058778161,1.0,line_search,8,3,100,message_conditioned_information
1,1.0472335079698087,1613781907.2086024,1613781907.2086024,236626.78538588283,236626.78538588283,232287.9101456598,9.854574296456438,9.854574296456438,7.894520644319717,7.894520644319716,0.0,0.0,line_search,9,3,100,message_conditioned_information
2,1.0698032610857036,344713359.00713253,344713381.57785666,9901.789969344582,9898.979430481522,5560.104190258474,5.91598483003572,8.312643488390103,6.910964294002558,6.910964294002559,3.4554821470012795,0.5,line_search,9,3,100,message_conditioned_information
3,1.1619596540530726,139769738.82097083,139769738.82097083,1196.1628379666035,1196.1628379666035,-3142.712402256445,5.038951406753972,5.038951406753972,3.30702655442702,3.3070265544270194,0.0,0.0,line_search,9,3,100,message_conditioned_information
