outer,trial,accepted,damping,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,predicted_reduction,rho,step_norm,gradient_inf_norm,linear_residual_norm
50,1,True,0.005241218744811962,4846.781872851345,4781.462228537007,65.31964431433789,119.64434471825697,0.5459484480286557,21.83430951940973,906.0383069104588,8.783111728340292e-11
51,1,True,0.005237151176888959,4781.462228537007,4713.0642011646,68.39802737240734,125.88149121267224,0.5433525350986773,22.27052027092471,1243.5342017111975,9.391126697089603e-11
52,1,True,0.005233737451414024,4713.0642011646,4651.265323821121,61.798877343479035,127.55785290615461,0.4844772464847381,22.622276413775285,1600.0835882440044,6.10718714388577e-11
53,1,True,0.005233894057344355,4651.265323821121,4589.938782421947,61.32654139917395,137.8342080711733,0.4449297620479441,23.302200113978905,2055.372651417967,1.488973264622763e-10
54,1,True,0.00524088709349935,4589.938782421947,4546.118638293936,43.820144128010725,145.6577475722748,0.3008432085376533,23.79015918315823,2745.583021273628,8.664806831660365e-11
55,1,True,0.005572079334150191,4546.118638293936,4501.337812847843,44.78082544609242,165.80930145470867,0.27007426636028886,23.751349074487354,3805.9344201809445,8.972275794828867e-11
56,1,True,0.00611391803444757,4501.337812847843,4418.433532519271,82.9042803285729,169.54716363942006,0.4889747404143391,22.205959946346514,4606.2799750448385,7.601382894714944e-11
57,1,True,0.00611398358495679,4418.433532519271,4334.029428116564,84.40410440270625,131.0346664845751,0.6441356830762185,21.120758882042292,3388.2176354473004,5.761183925874424e-11
58,1,True,0.005967520294358637,4334.029428116564,4286.073083531673,47.95634458489167,88.43430811556316,0.5422821256454433,20.37883170743259,939.6034253706722,8.429463751714233e-11
59,1,True,0.005963911564866082,4286.073083531673,4239.480965023226,46.59211850844622,83.04735803726604,0.5610307131930534,19.97072789827161,751.7465976313584,8.477794869530196e-11
60,1,True,0.005953065641859152,4239.480965023226,4197.0109025877355,42.470062435490945,76.72463056014315,0.5535388326464391,19.43095760675903,750.5157710481295,6.006445368114274e-11
