outer,start_objective,c,k,beta,post_objective,delta,improves
22,107.9342760837199,4,200,0.1,147.22245383494902,39.28817775122913,False
22,107.9342760837199,4,200,0.05,117.6524648166224,9.718188732902505,False
22,107.9342760837199,4,200,0.02,109.4520305541067,1.517754470386805,False
22,107.9342760837199,5,200,1.0,11284.264910870063,11176.330634786342,False
22,107.9342760837199,5,200,0.7,5521.49117545423,5413.55689937051,False
22,107.9342760837199,5,200,0.5,2848.906251928117,2740.971975844397,False
22,107.9342760837199,5,200,0.3,1087.4294543011295,979.4951782174096,False
22,107.9342760837199,5,200,0.2,541.8420242454769,433.90774816175696,False
22,107.9342760837199,5,200,0.1,216.21277399070655,108.27849790698666,False
22,107.9342760837199,5,200,0.05,135.06765781540474,27.13338173168485,False
22,107.9342760837199,5,200,0.02,112.32708252499869,4.392806441278793,False
22,107.9342760837199,5,300,1.0,324.55700128296104,216.62272519924113,False
22,107.9342760837199,5,300,0.7,219.45476250511734,111.52048642139745,False
22,107.9342760837199,5,300,0.5,166.75345431102852,58.819178227308626,False
22,107.9342760837199,5,300,0.3,129.8570697241057,21.92279364038582,False
22,107.9342760837199,5,300,0.2,117.87103155231661,9.936755468596715,False
22,107.9342760837199,5,300,0.1,110.48783641565484,2.5535603319349462,False
22,107.9342760837199,5,300,0.05,108.5929989527952,0.6587228690753051,False
22,107.9342760837199,5,300,0.02,108.0475779024031,0.11330181868321176,False
