inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,outer,inner_cycles,pre_sweeps,basis_source
2,0.8054262186749237,20080040.713554863,20080050.55344131,211.05451576826852,213.15979743648825,-1983.616632458095,14.984984245005426,14.193819464855288,2.614500079275712,2.6145000792757114,2.6145000792757114,1.0,9,2,100,message_conditioned_information
1,0.9317691585486735,233743272.95377418,233743552.42301726,5312.205557646478,5280.822483390537,4733.038024129482,4.609783882654931,2.0881908199669477,4.33664478586728,4.336644785867279,4.336644785867279,1.0,10,2,100,message_conditioned_information
2,0.8176142506446747,125199812.85879105,125199836.03961386,1469.9123686467096,1478.4652961387787,930.6808368777239,11.334918538374314,10.35667894942601,2.8413046340070855,2.8413046340070855,2.8413046340070855,1.0,10,2,100,message_conditioned_information
1,1.2312774347247073,3575570651.406393,3575571211.089585,1113242.5237580126,1132206.1776007663,1131652.14706646,12.978765378294677,15.938658477204623,20.672070763800594,20.672070763800594,20.672070763800594,1.0,11,2,100,message_conditioned_information
2,1.1366263249736832,186846079.3339149,186846064.95586273,3378.506002702141,3609.8748060020566,3055.844271695713,8.416090148890305,39.039348054328215,31.131970318456315,31.131970318456315,31.131970318456315,1.0,11,2,100,message_conditioned_information
1,0.8478638225179932,404321177.3517152,404320732.14769864,16004.256829824706,17051.422413241824,14992.63417438045,8.931546886621215,5.057274113614751,11.193278550876812,11.193278550876812,11.193278550876812,1.0,12,2,100,message_conditioned_information
2,0.7123978431166323,414955201.49367636,414955282.6194542,15994.936007700107,18175.79805953299,16117.009820671616,17.22994436284622,24.51557678819709,9.261917711845959,9.261917711845959,9.261917711845959,1.0,12,2,100,message_conditioned_information
1,0.8269437128523558,1085598917.9620774,1085599412.0815995,111405.08286907747,112400.9043922338,112199.9384903713,8.681099411094124,8.943071124089629,4.561277539985092,4.561277539985092,4.561277539985092,1.0,13,2,100,message_conditioned_information
2,0.735993857846358,262486440.54809713,262486484.20114762,6461.028471636308,6341.379746067582,6140.413844205088,10.895236253427669,11.753045635270354,3.0394152803762093,3.03941528037621,3.03941528037621,1.0,13,2,100,message_conditioned_information
1,1.0543977096225496,206528899.7538228,206528650.08831578,4191.003961837675,4134.665005166504,3949.269478730038,2.4373559751464344,3.579092222279632,3.542008682956286,3.542008682956286,3.542008682956286,1.0,14,2,100,message_conditioned_information
