experiment,cycle,k_used,relative_state_error,algebraic_residual,fixed_residual_norm,e_rel_to_exact,pre_residual_ratio
fixed_k_50,33,50,1.8892081182506443e-06,0.0017309767187931211,0.0017309767185896335,5.3980580700271494e-05,1.0
fixed_k_50,34,50,1.5669744428664224e-06,0.0014271241951723333,0.0014271241952434936,4.477335490093355e-05,1.0
fixed_k_50,35,50,1.2825327024623132e-06,0.0011766063996589188,0.0011766063996531554,3.664596833181135e-05,1.0
fixed_k_50,36,50,1.0667983634017638e-06,0.0009700675658490397,0.0009700675656594782,3.0481761358849133e-05,1.0
fixed_k_50,37,50,8.701624700711343e-07,0.0007997810982187029,0.0007997810981971385,2.4863262214258653e-05,1.0
fixed_k_50,38,50,7.26821096733537e-07,0.000659389853938356,0.0006593898539952855,2.0767548483557278e-05,1.0
fixed_k_50,39,50,5.898725888925326e-07,0.0005436394850972544,0.0005436394852557998,1.6854504450934754e-05,1.0
fixed_k_50,40,50,4.957414155883569e-07,0.0004482111201144229,0.0004482111199265167,1.4164879905323747e-05,1.0
fixed_k_50,41,50,3.9936867620982925e-07,0.00036953088499087753,0.0003695308851095713,1.1411212364996612e-05,1.0
fixed_k_50,42,50,3.3869014555504557e-07,0.00030466539448745607,0.0003046653943202766,9.677434350610025e-06,1.0
fixed_k_50,43,50,2.6990485841349925e-07,0.00025118305348088144,0.00025118305343074766,7.712026519992614e-06,1.0
fixed_k_50,44,50,2.3196840932805224e-07,0.00020709224013426247,0.00020709224012319935,6.628060838218849e-06,1.0
fixed_k_50,45,50,1.8194636517133069e-07,0.00017073780779082746,0.00017073780774932252,5.198777481313998e-06,1.0
fixed_k_50,46,50,1.5947125594611244e-07,0.00014076828478579883,0.00014076828484135744,4.556590591988705e-06,1.0
fixed_k_50,47,50,1.222222943137968e-07,0.00011605630364085691,0.00011605630400287669,3.492274098666334e-06,1.0
fixed_k_50,48,50,1.1025683155696804e-07,9.568552694081958e-05,9.568552698594376e-05,3.150380652268762e-06,1.0
fixed_k_50,49,50,8.172411221369659e-08,7.88873366353244e-05,7.888733674512765e-05,2.335114406364437e-06,1.0
fixed_k_50,50,50,7.689393914537064e-08,6.504117089206657e-05,6.504117080079704e-05,2.1970984950944237e-06,1.0
fixed_k_50,51,50,5.434841303339967e-08,5.362226745199467e-05,5.36222675588301e-05,1.5529050096269918e-06,1.0
fixed_k_50,52,50,5.43379930758773e-08,4.421111387434883e-05,4.421111376678856e-05,1.5526045420323606e-06,1.0
fixed_k_50,53,50,3.597988871882856e-08,3.644870520542201e-05,3.6448705299441233e-05,1.0280586682516005e-06,1.0
fixed_k_50,54,50,3.9164798217118594e-08,3.0052189259560673e-05,3.0052189327624013e-05,1.1190588367801362e-06,1.0
fixed_k_50,55,50,2.3875492429500717e-08,2.4775232883885945e-05,2.477523284718342e-05,6.821979137592092e-07,1.0
fixed_k_50,56,50,2.9045740808136917e-08,2.0427876144529024e-05,2.0427876122453394e-05,8.29925613032343e-07,1.0
fixed_k_50,57,50,1.6245116361807554e-08,1.684037294088065e-05,1.684037296204901e-05,4.641737136366794e-07,1.0
fixed_k_50,58,50,2.2386312686906394e-08,1.3885906731363033e-05,1.3885906505558227e-05,6.396448023119063e-07,1.0
fixed_k_50,59,50,1.1912613336657365e-08,1.1446789372195559e-05,1.1446789277074604e-05,3.403798671458438e-07,1.0
fixed_k_50,60,50,1.807915046125346e-08,9.43912512426561e-06,9.439125091075653e-06,5.165755913498955e-07,1.0
