inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,coarse_damping_mode,outer,inner_cycles,pre_sweeps,basis_source
2,0.9437880157797299,410283578.44637674,410283618.834536,5167.6704605573705,928.3183480098915,-133806.06718422458,25.34076601971601,43.120861341057626,26.416133083676026,26.416133083676026,26.416133083676026,1.0,fixed,16,3,100,message_conditioned_information
3,0.8409811598331711,989528453.2051901,989528605.8353151,115590.64002995321,181133.67842279613,46399.29289056166,29.330117060061756,36.20811030084953,25.845005532764528,25.845005532764528,25.845005532764528,1.0,fixed,16,3,100,message_conditioned_information
1,0.9527783030334925,1880996005.150527,1880994481.562802,330033.4845745542,340225.88952677604,332984.53790979966,9.97237729203072,10.483535327843594,12.087388733737948,12.087388733737951,12.087388733737951,1.0,fixed,17,3,100,message_conditioned_information
2,0.8959879771241053,78331652.68002786,78331670.93922986,181.65103250042046,2140.521714678276,-5100.829902298112,14.508117083994202,23.0928033385381,16.890045559343232,16.890045559343232,16.890045559343232,1.0,fixed,17,3,100,message_conditioned_information
3,0.8087854842593334,545946186.6810553,545946249.0950985,48514.59807177632,31059.81277588477,23818.46115890838,24.24558215207484,27.944815757259974,22.295895793164103,22.295895793164107,22.295895793164107,1.0,fixed,17,3,100,message_conditioned_information
1,0.8254800673966578,8585444835.093798,8585450745.883183,7590656.51230605,8022994.486601631,8021334.787806868,30.291385949456064,61.98658997817916,34.33970301812526,34.33970301812527,34.33970301812527,1.0,fixed,18,3,100,message_conditioned_information
2,0.8353308858785973,1835598936.7186866,1835599196.123795,343695.3695743532,325733.2476438637,324073.54884910036,19.816865365297435,25.67074004205156,28.18998275435644,28.189982754356432,28.189982754356432,1.0,fixed,18,3,100,message_conditioned_information
3,0.7359339857269274,674223964.2039425,674224062.2698039,50452.04261786698,46297.799610961934,44638.10081619858,28.328620809351513,53.32712122284366,30.952328579959875,30.95232857995988,30.95232857995988,1.0,fixed,18,3,100,message_conditioned_information
1,1.0714041968244106,4654547453.524027,4654548246.82351,2127380.67023955,2014905.7075543252,2014347.4221749797,10.72152869886838,18.96904062949519,17.813098335425195,17.8130983354252,17.8130983354252,1.0,fixed,19,3,100,message_conditioned_information
2,0.9981740499354615,663278202.4393669,663278328.453062,31863.417553661573,40879.91217751172,40321.62679816627,4.742526110065963,29.00517496876996,26.649474618757633,26.649474618757633,26.649474618757633,1.0,fixed,19,3,100,message_conditioned_information
3,0.9085805136785606,729092081.8268248,729092192.5663257,43454.55578427963,48425.15805150447,47866.87267215902,7.820358586480896,37.097124959840485,32.203458894981175,32.203458894981175,32.203458894981175,1.0,fixed,19,3,100,message_conditioned_information
1,1.041762432479827,758393610.6217843,758393339.4814043,52567.27852122129,54746.78375087681,54197.235064717795,5.7441822721135525,10.276028451056574,4.9495478195011815,4.9495478195011815,4.9495478195011815,1.0,fixed,20,3,100,message_conditioned_information
2,0.9464523138385101,41229044.97931995,41229045.8238144,205.1141061870371,216.49373074025374,-333.05495541876445,4.547016821105598,3.943018622733442,5.7716003636704984,5.7716003636704984,5.7716003636704984,1.0,fixed,20,3,100,message_conditioned_information
3,0.8807587518699443,1326099.8048890897,1326078.0882832888,115.97561816384002,153.5188601851956,-396.0298259738226,9.534083267548732,11.907981181392032,5.2248394781879455,5.224839478187946,5.224839478187946,1.0,fixed,20,3,100,message_conditioned_information
