cycle,k_used,cycle_start_residual,pre_coarse_residual,post_coarse_residual,pre_residual_ratio,post_residual_ratio,post_cycle_objective,objective_ratio_to_start,objective_delta_to_start,delta_e_norm,e_post_norm,e_rel_to_exact,num_groups,coarse_dim,outer_sample,ratio_target
2,19,208475794.38347775,21533958.696213897,21520166.88988699,0.1032923690728506,0.10322621364042885,73674.40207662994,682.5066702448656,73566.45528975062,6.849948801419315,0.9163522862029895,49.02694912202377,61,244,100,0.8
3,103,21520166.88988699,14876906.848017639,14876923.745293567,0.6913007191876737,0.6913015043709864,129.88274144582664,1.2032108152606922,21.935954566516756,10.183487270374588,0.588094816200689,31.048487411126164,61,244,100,0.8
4,163,14876923.745293567,7229665.053374928,7229680.384143837,0.4859650541438105,0.48596608465046437,114.50187618076737,1.060725191466666,6.555089301457485,15.046478244449409,0.47284707864280473,26.027247810736565,61,244,100,0.8
5,173,7229680.384143837,2609818.7663252437,2609835.276992801,0.36098674182735774,0.36098902556144835,110.6519790481409,1.0250604232607272,2.7051921688310188,21.975383499969066,0.9282987312396398,48.82000331403203,61,244,100,0.8
6,168,2609835.276992801,958051.4978998582,958045.5308187254,0.3670927074768408,0.36709042109456014,114.34792749584477,1.0592990379944491,6.401140616534889,32.12675507740021,1.1301478046166156,61.07543402708486,61,244,100,0.8
7,175,958045.5308187254,280092.90661438205,279794.01497174066,0.2923586589616681,0.2920466783375469,122.13815115257886,1.131466296344102,14.191364273268974,46.864722456613556,1.8077441296850083,95.74684045182813,61,244,100,0.8
8,300,279794.01497174066,36986207.27313372,36986242.73977594,132.19084502886648,132.19097178869808,303.9292029871998,2.8155465463461034,195.98241610788992,66.68774070075388,2.3576883010994414,126.65090336728592,61,244,100,0.8
9,171,36986242.73977594,2609786.1686521457,2609770.4396371543,0.07056099715274716,0.07056057188611216,204.05281343867455,1.890309284210712,96.10602655936466,96.77686820644865,4.201219018585034,223.55174772655448,61,244,100,0.8
10,300,2609770.4396371543,264201842.6721882,264201866.11709577,101.23566374248652,101.23567272599988,7777.553366766141,72.04988301747092,7669.606579886831,137.60586150833495,4.910829402279401,262.8706438443361,61,244,100,0.8
1,300,2693.1137364269125,530642561.82757246,530642622.3807826,197036.81825618038,197036.84074064114,26891.14895628388,249.17886265600578,26783.22989497326,5.647067034831189,7.369953641746392,74308.87455727083,61,244,150,0.8
