cycle,sweep,cycle_start_residual,current_residual,residual_ratio,outer_sample,ratio_target
1,257,7276196.130319717,105943773.13395491,14.560323998481845,75,1.0
1,258,7276196.130319717,104105775.385367,14.307719792153621,75,1.0
1,259,7276196.130319717,104205419.93393008,14.32141438569926,75,1.0
1,260,7276196.130319717,102028924.15589264,14.02228888948455,75,1.0
1,261,7276196.130319717,101605807.5239377,13.9641380886572,75,1.0
1,262,7276196.130319717,98229774.30902246,13.500154826737226,75,1.0
1,263,7276196.130319717,102416415.0050198,14.075543480508077,75,1.0
1,264,7276196.130319717,100788148.34021877,13.851763549945721,75,1.0
1,265,7276196.130319717,96717055.6566623,13.29225517350266,75,1.0
1,266,7276196.130319717,97357404.76085247,13.38026119927784,75,1.0
1,267,7276196.130319717,97159645.09200339,13.353082208317847,75,1.0
1,268,7276196.130319717,97651031.61077821,13.42061564336741,75,1.0
1,269,7276196.130319717,94835750.61251177,13.033699052906737,75,1.0
1,270,7276196.130319717,98419084.65589023,13.526172589793243,75,1.0
1,271,7276196.130319717,92915435.17753087,12.769781560773865,75,1.0
1,272,7276196.130319717,92532024.10242967,12.71708767124228,75,1.0
1,273,7276196.130319717,95448445.51201773,13.11790443832136,75,1.0
1,274,7276196.130319717,93771229.96225418,12.887397244765289,75,1.0
