outer,nonlinear_objective,accepted,lambda,attempts,lambda_next,step_norm,linear_residual_norm,scale,actual_reduction,rho,relative_objective_improvement
87,148933.41128330617,True,6493.784943992713,2,4329.189962661809,0.3195147687495962,2.6929012297376477e-11,1359.7399738773554,311.65607065777294,0.22920269804900464,0.002088216891742355
88,148731.36003840656,True,4329.189962661809,1,2886.126641774539,0.26522870569188506,3.409549349455642e-11,617.9203077521809,202.05124489960144,0.3269859274161205,0.0013566549181852335
89,148501.38937222856,True,2886.126641774539,1,1924.0844278496927,0.392125634444484,8.81626582957563e-11,906.1244938296255,229.97066617800738,0.25379588317501955,0.001546215042467322
90,148323.7160975915,True,3848.1688556993854,2,2565.4459037995903,0.40296313386660704,3.148818473453766e-11,1290.3738527388298,177.67327463705442,0.13769131655910521,0.001196441833898972
91,148080.3848355499,True,5130.8918075991805,2,3420.5945383994535,0.3501938598163868,2.6262727630893353e-11,1294.5164686959422,243.3312620416109,0.18797077358678616,0.0016405418394554512
92,147909.33835218634,True,3420.5945383994535,1,2280.3963589329687,0.4064680027069832,5.1350719578239286e-11,1165.4424913427374,171.04648336354876,0.14676527124601535,0.0011550921045586407
93,147689.39265633633,True,4560.792717865937,2,3040.5284785772915,0.394797441212598,4.415757975818291e-11,1467.9628585676785,219.94569585000863,0.14983055910870535,0.001487030489760537
94,147640.01514925933,True,3040.5284785772915,1,2027.0189857181942,0.5282602821236152,2.7859972508313315e-11,1771.6372458322692,49.37750707700616,0.027871115937060743,0.00033433346964804997
95,147490.51034987502,True,4054.0379714363885,2,2702.691980957592,0.6113664721784373,3.5550856976663645e-11,3179.7560495385633,149.50479938430362,0.047017694771270054,0.0010126306153054715
96,147072.1416692518,True,5405.383961915184,2,3603.589307943456,0.5001545745692136,3.860027756545565e-11,2816.907681348217,418.36868062321446,0.14852055088400218,0.0028365803306990116
97,146946.82449390236,True,3603.589307943456,1,2402.3928719623036,0.4808581138425962,7.202923821810061e-11,1733.450204140375,125.31717534945346,0.07229349597128967,0.0008520796251901822
98,146672.9917390235,True,4804.785743924607,2,3203.190495949738,0.45483643454721817,1.9882276554318013e-11,2065.542619232858,273.8327548788511,0.1325718251122567,0.0018634819488066853
99,146636.59401338611,True,3203.190495949738,1,2135.4603306331583,0.5449214782245795,2.6406247332588778e-11,1989.7368483758971,36.39772563739098,0.018292733366776746,0.0002481556093309514
100,146415.79612753927,True,4270.9206612663165,2,2847.2804408442107,0.5970542176184928,4.013097263968342e-11,3200.0434506934557,220.79788584684138,0.06899840244325246,0.0015057488707538123
