outer_sample,k,cycle,cycle_start_linear_residual,pre_linear_residual,post_linear_residual,pre_residual_ratio_vs_cycle_start,post_residual_ratio_vs_cycle_start,outer_start_objective,cycle_start_objective,pre_objective,post_objective,post_objective_delta_vs_outer_start,post_objective_gap_to_direct_optimum,delta_z_norm,delta_e_norm,e_post_norm,e_rel_to_exact
12,300,5,43328873719.99838,61215225862.702484,61215224731.42639,1.4128044559452437,1.4128044298361855,30281.256154506722,9143425848.03259,14500517780.419653,4478901654.426677,4478871373.170523,4478901546.507616,19268.886994115608,19268.88699411561,2878.403689812956,180.0472466387737
12,300,6,61215224731.42639,27767518463.145927,27767513814.74395,0.4536047786310056,0.45360470269561537,30281.256154506722,4478901654.426677,37663570447.55914,10850728006.276745,10850697725.02059,10850727898.357685,27166.824653160573,27166.82465316057,4040.18116314674,252.3282083184954
12,300,7,27767513814.74395,93409383420.48206,93409374634.7412,3.3639808030232685,3.3639804866196856,30281.256154506722,10850728006.276745,81604775693.41888,442639669065.3773,442639638784.12115,442639668957.45825,38916.97764384547,38916.97764384548,2134.2272042722175,133.5954306076059
12,300,8,93409374634.7412,22697805559.142555,22697786916.805614,0.2429928007536483,0.2429926011769247,30281.256154506722,442639669065.3773,176637975916.9192,48548947510.34988,48548917229.09372,48548947402.43082,55253.61954787519,55253.61954787518,3989.6806332697433,249.0818083843915
12,300,9,22697786916.805614,138156468470.96436,138156443512.25995,6.086781454833037,6.0867803552234365,30281.256154506722,48548947510.34988,263354186269.37598,1659097385609.8865,1659097355328.6304,1659097385501.9675,78847.22474904105,78847.22474904104,2708.3601460290397,168.79802429382755
12,300,10,138156443512.25995,15911144373.29186,15911164783.055368,0.11516758805303143,0.11516773578239525,30281.256154506722,1659097385609.8865,440779779954.25116,107876168705.93124,107876138424.6751,107876168598.01218,112001.92214349461,112001.92214349461,5172.665784675697,322.4569294155544
12,300,11,15911164783.055368,192766631706.4006,192766572286.44354,12.115180399092333,12.115176664610422,30281.256154506722,107876168705.93124,194234342752.084,46769894345.63578,46769864064.37962,46769894237.71672,159289.2746686652,159289.27466866517,5437.995239091061,338.3069913726288
12,300,12,192766572286.44354,113289853377.57571,113289932728.60023,0.5877048703715676,0.5877052820146423,30281.256154506722,46769894345.63578,532512761484.1212,330307623177.1284,330307592895.87225,330307623069.20935,225946.2917380997,225946.2917380997,8747.028559062408,544.6015209283287
12,300,13,113289932728.60023,442395030619.08014,442394903785.4677,3.904980963126627,3.9049798435777903,30281.256154506722,330307623177.1284,847382058672.5634,601324829914.4779,601324799633.2218,601324829806.5588,320491.6895802088,320491.6895802088,11273.791457522266,701.3116995490374
12,300,14,442394903785.4677,437881230327.2477,437881396331.9564,0.9897971847785823,0.9897975600195882,30281.256154506722,601324829914.4779,2257321336488.414,658423376085.2324,658423345803.9763,658423375977.3134,453993.9083522232,453993.9083522232,16683.879625714857,1038.2638668341299
12,300,15,437881396331.9564,800430304279.3457,800430031464.9755,1.8279614319868072,1.8279608089542405,30281.256154506722,658423376085.2324,3078188314271.0327,540303511528.911,540303481247.65485,540303511420.99194,642895.7896888026,642895.7896888027,22943.05321391805,1427.3346092853444
12,300,16,800430031464.9755,760527096633.8151,760527468952.1373,0.9501481288025531,0.9501485939504206,30281.256154506722,540303511528.911,6343119424669.18,1428942132585.1423,1428942102303.8862,1428942132477.2234,909481.4018592471,909481.4018592474,33092.23947616107,2059.063642353364
12,300,17,760527468952.1373,1597049024735.878,1597048460745.366,2.099922869237463,2.099922127659368,30281.256154506722,1428942132585.1423,10764965987965.469,1032677729761.8961,1032677699480.64,1032677729653.977,1286192.1153084668,1286192.115308467,46258.68964522504,2877.9830291371836
12,300,18,1597048460745.366,1447394176112.729,1447394876551.6191,0.9062932100615212,0.9062936486448875,30281.256154506722,1032677729761.8961,14529308316172.549,5459875462450.172,5459875432168.916,5459875462342.253,1818057.0197908278,1818057.0197908278,65946.84464683608,4103.147938748199
12,300,19,1447394876551.6191,2912609538191.305,2912608396413.298,2.0123116264792382,2.0123108376288523,30281.256154506722,5459875462450.172,19290600089601.46,18319072490515.74,18319072460234.48,18319072490407.82,2568845.3263236145,2568845.3263236145,93012.22306726237,5786.879331354808
12,300,20,2912608396413.298,4694795165096.087,4694796697542.164,1.611886847156468,1.6118873732986294,30281.256154506722,18319072490515.74,44326628407177.52,71262211336799.42,71262211306518.17,71262211336691.5,3628434.8253274825,3628434.8253274825,131817.53076918094,8201.42046486543
