sweep,mu_norm,mu_max_abs,message_eta_norm,message_eta_max_abs
7392,6.1361712142267,0.2677914345534194,760.3507146183804,69.12813785288974
7393,6.135645002947888,0.2677625331428056,760.3273108636635,69.1231848321404
7394,6.135118536510958,0.2677337010713051,760.3039126600712,69.1182324062923
7395,6.134591967294789,0.2677048044483414,760.2805174293132,69.1132805266047
7396,6.134065657594484,0.26767598887977057,760.257129156858,69.1083292194712
7397,6.133539380453692,0.2676471228776728,760.233748127812,69.10337847544233
7398,6.13301333622124,0.2676182614782102,760.2103721367356,69.09842832133153
7399,6.132487195953352,0.2675894194147128,760.1869982479502,69.0934786664212
7400,6.131961180413285,0.2675605771736792,760.1636293304031,69.0885296315762
7401,6.131435219834863,0.26753175434650095,760.1402662136202,69.08358118669832
7402,6.130909476761507,0.26750289739756805,760.1169088305054,69.07863329120175
7403,6.130383554354203,0.26747406671227125,760.0935566211923,69.07368590996916
7404,6.1298579358244405,0.2674452077840117,760.0702102013712,69.06873906415383
7405,6.129332270204557,0.267416439761851,760.0468688048956,69.06379286010441
7406,6.128806814808401,0.2673875824407715,760.0235318316952,69.05884724528568
7407,6.128281157828151,0.2673587575344156,760.0002003430701,69.05390220630687
7408,6.12775552275699,0.26732990968881737,759.9768752031827,69.04895765013063
7409,6.1272298977185455,0.2673011258532147,759.9535546373982,69.04401368837078
7410,6.126704787762779,0.2672722962211884,759.9302399106059,69.03907025818742
7411,6.126179669504928,0.26724350622705784,759.9069293513629,69.03412744964805
7412,6.125654421476214,0.2672146603168105,759.8836218066502,69.029185187825
7413,6.125129262806152,0.26718587259680127,759.8603192832509,69.02424349596825
7414,6.124604077696066,0.2671570704986137,759.8370247883856,69.01930234939307
7415,6.124079159500822,0.2671282799695641,759.8137355641918,69.01436179781095
7416,6.123554151473244,0.2670994667284884,759.7904506843151,69.00942178520096
7417,6.123029290832801,0.2670706873715168,759.7671706654918,69.0044823657658
7418,6.122504431883216,0.2670418944841369,759.7438950948638,68.99954349319154
7419,6.12197975477781,0.2670131290046485,759.7206248213781,68.99460521932518
7420,6.121454962817229,0.26698433811094446,759.6973621908625,68.98966749272064
7421,6.120930491144939,0.26695553131536864,759.6741032094745,68.98473029070237
7422,6.120405888209639,0.26692677287615346,759.6508482451302,68.979793640308
7423,6.119881507070581,0.26689800771468586,759.627598420446,68.97485760590394
7424,6.119357204169255,0.2668692442237767,759.6043543776519,68.96992215951398
7425,6.118832831303764,0.266840453143702,759.5811161557596,68.96498723015986
7426,6.11830831162648,0.26681170436359947,759.5578825704165,68.96005285421359
7427,6.117784211935545,0.2667829224953613,759.5346554978818,68.95511906095523
7428,6.117260138356514,0.26675420688309776,759.5114323856856,68.95018587271015
7429,6.116736013770184,0.2667254108540163,759.4882144969644,68.94525322354148
7430,6.116211919505593,0.26669668276646236,759.46500081429,68.94032111202532
7431,6.115687962934933,0.2666679187770459,759.4417942672458,68.93538954494556
7432,6.115164268593183,0.2666391991559926,759.4185918119662,68.93045857359861
7433,6.1146406972641065,0.2666104269483018,759.3953945020752,68.92552814435894
7434,6.114116875169736,0.26658171190259355,759.3722018678487,68.92059831325946
7435,6.113592965572384,0.26655294364104587,759.3490127236465,68.91566903252746
7436,6.113069307596528,0.2665242539424087,759.325830542773,68.91074031454914
7437,6.112545656999948,0.2664955139359989,759.3026552152958,68.90581215436471
7438,6.112022260413627,0.26646677958902615,759.2794847691291,68.9008845891724
7439,6.111498754271597,0.266438058412097,759.2563168473577,68.89595751417534
7440,6.11097536645633,0.26640934074373046,759.2331542253263,68.89103105428275
7441,6.110452073672444,0.2663806476671314,759.2099968427661,68.88610518063737
7442,6.109928974881001,0.2663519087324053,759.1868452419718,68.8811798576961
7443,6.109405693125298,0.2663232100181447,759.1636987709817,68.87625505734933
7444,6.1088827100357515,0.26629447273999485,759.1405573466564,68.8713307844732
7445,6.10835966913248,0.26626582771120993,759.117421462964,68.86640713860925
7446,6.107836854819793,0.26623709736621803,759.0942901828163,68.86148408647087
7447,6.10731383658289,0.26620839508626537,759.0711643283024,68.85656161005657
7448,6.106790841739224,0.266179677919237,759.0480447910204,68.85163960535627
7449,6.10626784720204,0.26615101379808015,759.0249294783497,68.84671819290708
7450,6.105745389373986,0.2661223100541501,759.0018201274435,68.84179732608946
7451,6.105222914719295,0.26609364184511153,758.9787148993374,68.83687707263712
7452,6.104700301984374,0.26606491894797096,758.9556126306312,68.83195735155698
7453,6.10417777092051,0.26603626211479314,758.932515074899,68.82703820342738
7454,6.103655216938211,0.26600758240207356,758.9094258539924,68.82211960069428
7455,6.1031329488161035,0.2659789168655855,758.8863421824615,68.81720159004286
7456,6.102610579243572,0.26595022814269426,758.8632628264174,68.8122841147204
7457,6.102088387312207,0.2659215670859764,758.8401880433893,68.80736722193083
7458,6.101566156021222,0.26589290437819973,758.817117297264,68.80245088063577
7459,6.101044132565857,0.2658642616595401,758.7940520527194,68.7975351345828
7460,6.100521979068139,0.26583559583975247,758.7709940959961,68.79261992948572
7461,6.100000138409447,0.2658069122461522,758.747940444262,68.78770525741956
7462,6.099478185656487,0.2657782797128403,758.7248904259405,68.78279113365554
7463,6.098956453197809,0.2657496423134401,758.701845811382,68.77787761318712
7464,6.098434799943418,0.26572100332929954,758.6788070764234,68.7729646752054
7465,6.097913078151352,0.2656923345615272,758.6557737444526,68.768052251059
7466,6.097391191109856,0.2656637070449843,758.6327450846782,68.76314038897807
7467,6.096869728000533,0.2656350536816755,758.6097229341576,68.75822909472498
7468,6.096348305775316,0.2656064613735673,758.5867046843141,68.75331840749736
7469,6.095826839334454,0.26557779674467547,758.563691792726,68.74840826259378
7470,6.095305391142078,0.26554918761196167,758.5406826923888,68.7434986472433
7471,6.094784066681824,0.26552055144012143,758.5176803185394,68.73858957522918
7472,6.094262999886535,0.26549195729504127,758.4946821477653,68.7336810940937
7473,6.093742049275163,0.2654633062775332,758.4716895356629,68.72877315384585
7474,6.0932208797566085,0.2654347216708317,758.4487018885062,68.72386580656587
7475,6.092699608294484,0.2654060754658324,758.4257176687701,68.7189589982505
7476,6.092178599078084,0.2653775140986961,758.4027403467671,68.71405275898414
7477,6.09165759004941,0.2653488993440961,758.379769422005,68.70914708009406
7478,6.091136848536041,0.26532028454690554,758.3568037081844,68.70424199048799
7479,6.090616004371017,0.2652916866298858,758.3338403078264,68.69933738737622
7480,6.090095263469483,0.2652630946105141,758.3108821272327,68.69443339234479
7481,6.08957459062528,0.2652345280102955,758.2879289264791,68.68952998347012
7482,6.089054150350953,0.26520591685496425,758.2649816109232,68.68462712724802
7483,6.0885335086479095,0.2651773395883459,758.2420398970906,68.67972477988093
7484,6.0880131648037965,0.26514872641155435,758.219103368695,68.67482296719638
7485,6.087492775935491,0.26512020435322003,758.1961714541889,68.66992178171702
7486,6.086972601903321,0.2650916046766094,758.1732444703957,68.66502118334977
7487,6.086452236813627,0.2650630264382759,758.1503228605603,68.66012115726363
7488,6.0859318602876735,0.2650344350160796,758.1274071596044,68.65522160038203
7489,6.085411511272455,0.2650058939344852,758.1044958481713,68.65032263675164
7490,6.084891684398674,0.2649773156014889,758.081590458955,68.64542421074674
7491,6.084371828832133,0.26494877801987665,758.058689722915,68.64052639557265
7492,6.083851852989957,0.2649201785363993,758.0357914547109,68.63562912164083
7493,6.0833319847769,0.26489164148094935,758.0128981302299,68.63073240477894
7494,6.0828120630280464,0.2648630889756398,757.9900132583892,68.62583624188689
7495,6.082292431780699,0.26483454662720596,757.9671333263257,68.62094066825682
7496,6.081772680096724,0.2648059832450469,757.9442573688907,68.61604562114888
7497,6.081253129105856,0.26477744948670223,757.9213867787942,68.61115115459282
7498,6.080733534181669,0.2647489059032401,757.8985201056325,68.60625723859259
7499,6.080214156398962,0.2647203952114322,757.8756588757283,68.60136392021582
7500,6.079694628739363,0.2646918474660319,757.8528043553243,68.59647113929455
7501,6.079175408392509,0.2646632913156687,757.8299542742069,68.59157887919015
7502,6.078656105728221,0.26463478347296837,757.8071078163412,68.5866871628478
7503,6.078136973242983,0.26460626632326667,757.7842669179441,68.58179606013792
7504,6.077617948015863,0.26457775501071895,757.7614317527272,68.57690554333948
7505,6.077098831939343,0.26454921368661977,757.7386015663653,68.57201554013753
7506,6.076579600393954,0.2645207109266235,757.7157768153811,68.56712608794464
7507,6.076060767268393,0.2644921834007237,757.692957941848,68.56223719583909
7508,6.0755419642549,0.264463708515113,757.6701430190158,68.55734891164232
7509,6.075023090166565,0.26443516908833015,757.6473328125758,68.55246117206522
7510,6.074504269144138,0.2644066875338447,757.6245271232395,68.54757396166146
7511,6.073985571811322,0.26437817546900405,757.6017285612503,68.54268728650894
7512,6.073467135798642,0.2643497050831395,757.5789342459664,68.53780120480303
7513,6.0729488149946835,0.26432117257222404,757.5561446060481,68.53291566571184
7514,6.072430265372815,0.26429271940519183,757.5333599816396,68.52803071389825
7515,6.071911623501596,0.2642641902099016,757.5105787780167,68.52314629340688
7516,6.071393248057632,0.264235756124218,757.4878044134065,68.5182624434452
