outer,nonlinear_objective,accepted,damping,attempts,step_norm,gradient_inf_norm,linear_residual_norm,predicted_reduction,actual_reduction,rho,relative_objective_improvement
91,3880.0200811272234,True,0.004944869537343752,1,16.058165566810345,343.61249186934106,3.6351350855107845e-11,45.64671952761523,30.36211226407113,0.6651543107211185,0.007764487142812878
92,3850.8076183479257,True,0.0045562365116439164,1,15.16904879776609,330.01289391938474,4.885765122920183e-11,40.90389575954018,29.212462779297766,0.7141731181554859,0.007528946285971531
93,3820.018896616344,True,0.003868417603097455,1,15.563816318262193,340.4227198545648,6.208211114287521e-11,40.18201477652356,30.788721731581518,0.7662314073302742,0.007995393377971581
94,3785.831751219409,True,0.0030662906726591655,1,16.99249214876326,335.1372913985906,6.852011201149781e-11,42.95180543526046,34.18714539693519,0.7959419877812612,0.008949470230950198
95,3744.426247374026,True,0.0023223287982130887,1,20.581646425502612,358.43402765236516,8.219190794651204e-11,51.001268996268855,41.40550384538301,0.8118524236801274,0.010936963543624563
96,3693.622680650246,True,0.0018668812259654722,1,25.867320808444596,406.792307538288,8.735462712150084e-11,64.2678851757003,50.80356672378002,0.7904969423669298,0.01356778405220524
97,3634.8140119783484,True,0.0016754273144826643,1,31.742710873355513,540.6915208512551,7.018373482208004e-11,80.11668498168461,58.80866867189752,0.7340377186767238,0.015921677376516574
98,3579.7619192234165,True,0.0016678191193111073,1,35.57872671343184,733.0239636439092,9.468936515048027e-11,94.46163777562404,55.05209275493189,0.5827984147987975,0.015145779831790695
99,3531.7941278481,True,0.0016754155980446186,1,39.14330209225045,895.8478520844046,9.874873587111812e-11,114.99800571791461,47.967791375316665,0.41711846284517046,0.013399715527931719
100,3512.7573502579253,True,0.0023346715215476384,1,43.34777560222249,948.5633610387946,8.109130647229112e-11,142.48338354357014,19.03677759017455,0.13360700115851246,0.005390115307138115
